Date,Field,Bed,Crop,Variety,Seed_Company,Action,Machinery_Notes,Notes
Date ,Field,Bed,Crop,Variety,Seed Co.,Action ,Machinery Notes,Notes
2024-04-28 00:00:00,JS1,"1,2",Potato,Chieften,Fedco,TP,,"39"" between rows"
2024-04-28 00:00:00,JS1,2024-03-05 00:00:00,Potato,Dark Red Norland,Fedco,TP,,"39"" between rows"
2024-04-28 00:00:00,JS1,2024-06-07 00:00:00,Potato,Satina,Fedco,TP,,"39"" between rows"
2024-04-28 00:00:00,JS1,2024-08-09 00:00:00,Potato,Kennebec,Fedco,TP,,"39"" between rows"
2024-04-30 00:00:00,F3M,1,Radicchio,Indigo,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,1,Radicchio,Indigo,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,2,Broccoli,Gypsy,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,2,Broccoli,Amadeus,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,3,Cabbage,Ruby Perfection,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,4,Cabbage,Alcosa,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,5,Cabbage,Sweet N Tender,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,6,Cabbage,Farao,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,7,Cabbage,Caraflex,Johnny's,TP,Lannen,
2024-04-30 00:00:00,F3M,8,Kale,Black Magic,Johnny's,TP,Lannen,
2024-05-14 00:00:00,JS3,"1,2",Celeriac,Balena,Johnny's,TP,Lannen,CROP FAILURE; NEVER WATERED
5/2-5-20,JS3,4,Onion,Expression,Johnny's,TP,,
5/2-5-21,JS3,5,onion,Patterson,Johnny's,TP,,
5/2-5-22,JS3,6,onion,Matador,Johnny's,TP,,
5/2-5-23,JS3,7,onion,Rossa Di Milano ,Fedco,TP,,
5/2-5-24,JS3,8,onion,Patterson,Johnny's,TP,,
5/2-5-25,JS3,9,onion,Expression,Johnny's,TP,,
2024-05-07 00:00:00,F3M,,Beet,Red Ace,Johnny's,DS,,
2024-06-10 00:00:00,F3M,,Lettuce,Salanova,Johnny's,TP,Lannen,
2024-08-02 00:00:00,JS 5/6,,Cabbage,Farao,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Cabbage,Storage #4,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Cabbage,Famosa,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Cabbage,Caraflex,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Broccoli,Gypsy,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Broccoli,Gypsy,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Broccoli,Happy Rich,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Rutabaga,Helenor,Johnny's,TP,,
2024-08-02 00:00:00,JS 5/6,,Rutabaga,Gilfeather Turnip,Fedco,TP,,
2024-08-05 00:00:00,F3M,,Beet,Red Ace,High Mowing,DS,,
2024-08-05 00:00:00,F3M,,Beet,Babybeet,Johnny's,DS,,
